learning_rate,model_path,history_path,time_taken,time_taken_hrs
1e-06,trained_models/xception_1e-06.h5,trained_models/xception_history_1e-06.p,20565.533766508102,05:42:45.534
1e-08,trained_models/xception_1e-08.h5,trained_models/xception_history_1e-08.p,20447.66161251068,05:40:47.662
