learning_rate,model_path,history_path,time_taken,time_taken_hrs
1e-07,trained_models/densenet201_1e-07.h5,trained_models/densenet201_history_1e-07.p,27465.695157527924,07:37:45.695
1e-08,trained_models/densenet201_1e-08.h5,trained_models/densenet201_history_1e-08.p,27434.004640340805,07:37:14.005
